No,Name,Level,Form,Effect,Image,Book,,,,,,,,,,,,,,,,,,,
346,Poison (mind-disrupting),1d6+2,"Internal: Pill, ingestible or injectable liquid 
Wearable: Lipstick, false fingertip, ring with needle 
Usable: Injector",The victim suffers Intellect damage equal to the cypher's level and cannot take actions for a number of rounds equal to the cypher's level.,no,DISC,,,,,,,,,,,,,,,,,,,
347,Portable biolab,1d6,Usable: Glass orb,"Inside the orb is a complex, self-sustaining ecosystem that creates a useful compound, plant, or creature. When the glass is broken, the lab-produced item becomes available to the user. Although the creation inside could be almost anything, common options include:
01–10 Inhalable gas that allows the user to see in complete darkness as if it were daylight for one hour
11–30 Bioluminescent grubs that, when eaten, cause the user’s skin to glow green for one hour
31-40 Drinkable purple liquid that adds 5 to the Pool of the user's choice for one hour
41-50 Orange-petaled flower that increases stamina when eaten, adding 1 to the user's Might Edge for one hour
51-75 Red speckled mushroom that, when licked, causes the user's mind to open, decreasing the difficulty of all skills related to perception, telepathy, and telekinetics by one step for 28 hours.
76-00 Blue-green moss that, when rubbed on skin, makes the skin tacky and sticky. The difficulty of all tasks elated to keeping a good grip including climbing, balancing, and lockpicking) is decreased by one step for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
348,Portable steed,1d6+2,Usable: Complex device,The box unfolds into a mechanical steed. The steed is a level 3 creature that is large enough to carry two human-sized riders. The steed serves for seven hours and then shatters into 1d6 oddities.,no,SATC,,,,,,,,,,,,,,,,,,,
349,Portable vortex,1d6+4,"Usable: Small, disk-shaped device","One round after activation, the device breaks apart and creates a cyclone. The cyclone is 30 feet (9 m) across at its base, 90 feet (27 m) tall, and 60 feet (18 m) across at the top. When it forms, it sets off in a direction away from the user, traveling a long distance before it dissipates. As it moves, the vortex inflicts damage equal to half its level to anything it touches. The vortex is strong enough to pick up creatures and objects not anchored in place that weigh up to 500 pounds (227 kg) and throw them a long distance away, which inflicts damage equal to half the vortex level when the target lands.",no,SATC,,,,,,,,,,,,,,,,,,,
350,Portal ring,1d6+4,Usable: Small metallic ring,"The cypher automatically affixes itself to any flat surface on which it is placed. It instantly widens until it reaches 5 feet (2 m) in diameter or until the ring reaches an edge, at which point it stops expanding. The surface inside the ring vanishes, opening a hole through the material or to a depth of 5 feet (2 m).",no,SATC,,,,,,,,,,,,,,,,,,,
351,Power siphon,1d6+1,Usable: Handheld device,"Transfers power from one device to another. This device can drain power from one cypher to fuel another that has been used but is still intact, or from one artifact to recharge another that has been depleted.",no,SATC,,,,,,,,,,,,,,,,,,,
352,Prismatic field projector,1d6+3,Usable: Large device,"To be activated, this device must be placed on level ground. It creates a field of scintillating force around the user that provides Armor equal to the cypher level. However, the device can’t be moved once activated, which means the user can’t move from where she stands.
The force field lasts for ten minutes.",c352,SATC,,,,,,,,,,,,,,,,,,,
353,Projectile module (homing),1d6+1,Usable: Small metal and synth plate,"This cypher must be attached to another cypher or artifact (a level 4 task) that fires solid projectiles, like a slugspitter or a compactor. Once attached, it no longer counts against a character's cypher limit. The projectile(s) of the cypher or artifact it is attached to now hone in on the desired target, reducing the difficulty of the attack roll by one step.
The module cannot be removed from the device without destroying both the module and the device.",no,SATC,,,,,,,,,,,,,,,,,,,
354,Projectile module (mindblasting),1d6+1,Usable: Small metal and synth plate,"This cypher must be attached to another cypher or artifact (a level 4 task) that fires solid projectiles, like a slugspitter or a compactor. Once attached, it no longer counts against a character's cypher limit. The projectile(s) of the cypher or artifact it is attached to now are ghostly psychic missiles that inflict Intellect damage rather than normal damage, and they ignore Armor.
The module cannot be removed from the device without destroying both the module and the device.",no,SATC,,,,,,,,,,,,,,,,,,,
355,Projectile module (poison),1d6+1,Usable: Small metal and synth plate,"This cypher must be attached to another cypher or artifact (a level 4 task) that fires solid projectiles, like a slugspitter or a compactor. Once attached, it no longer counts against a character's cypher limit. The projectile(s) of the cypher or artifact it is attached to now also carry a poison that inflicts 4 points of Speed damage that ignores Armor.
The module cannot be removed from the device without destroying both the module and the device.",no,SATC,,,,,,,,,,,,,,,,,,,
356,Projectile module (teleport),1d6+1,Usable: Small metal and synth plate,"This cypher must be attached to another cypher or artifact (a level 4 task) that fires solid projectiles, like a slugspitter or a compactor. Once attached, it no longer counts against a character's cypher limit. The projectile(s) of the cypher or artifact it is attached to now teleport through barriers to get to the target, but the target must be seen. The attack ignores Armor and can even pass through solid barriers.
The module cannot be removed from the device without destroying both the module and the device.",no,SATC,,,,,,,,,,,,,,,,,,,
357,Psychic communiqué,1d6+2,"Internal: Pill 
Wearable: Device that adheres to temple 
Usable: Metallic disk","Allows the user to project a one-time, one-way telepathic message of up to ten words per cypher level, with an unlimited range, to anyone they know.",no,DISC,,,,,,,,,,,,,,,,,,,
358,Psychic focus,1d6,"Internal: Pill, injection
Wearable: Headband, crystal placed on temple or forehead
Usable: Handheld device","Increases the intensity of the user’s next mental ability, such as a mental Onslaught esotery or the use of psychokinesis. Damaging attacks inflict 2 additional points of damage, and other abilities have double the normal range or duration (user’s choice).",no,SATC,,,,,,,,,,,,,,,,,,,
359,Purgspitter,1d6+2,Usable: Handheld device,"This device spits out a tentacled creature called a purg up to long range. The purg is a level 2 creature that adheres to whatever it strikes, producing a keening screech and a strong odor for 28 hours. Grasping with powerful tentacles and an even more powerful natural adhesive, the purg is difficult to remove. To do so, the purg must be slain and scraped away, a task with a difficulty equal to the level of the device. If the purg is slain but not removed, the screech ends, but the stench remains.
[The purgspitter can be used as a nuisance or as a warning or crude tracking device. A creature or an object with a purg attached can always be found easily.]",no,SATC,,,,,,,,,,,,,,,,,,,
360,Purity,1d6,Usable: Liquid in a metal or glass canister,"Pouring the canister’s contents into another liquid or onto solid material instantly eradicates any toxins, poisons, diseases, or other contaminants in that liquid or material. The purity liquid also prevents the target from being contaminated by such things for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
361,Pushpull beam,1d6+3,Usable: Handheld device,"This device emits a beam up to long range. The user chooses whether the beam will push or pull. Either way, an unsecured object or creature will be moved a long distance toward or away from the device with the strength of ten humans. The beam lasts for one round.",no,SATC,,,,,,,,,,,,,,,,,,,
362,Pyrolytic pulser,1d6+2,"Wearable: Wristband projector, headband projector, shoulder- or arm-mounted launcher (long range)
Usable: Handheld projector","Sends out a series of rapid-fire encapsulated heat pellets up to 200 feet (61 m). The pellets burst into flame upon contact, causing disintegration damage equal to the cypher level to all creatures within immediate range of the explosion.",no,SATC,,,,,,,,,,,,,,,,,,,
